Epoch 10, cost = 0.9740, accuracy = 0.0789
Epoch 20, cost = 0.9421, accuracy = 0.1187
Epoch 30, cost = 0.9202, accuracy = 0.1667
Epoch 40, cost = 0.8954, accuracy = 0.2041
Epoch 50, cost = 0.8705, accuracy = 0.2394
Epoch 60, cost = 0.8468, accuracy = 0.2715
Epoch 70, cost = 0.8248, accuracy = 0.3010
Epoch 80, cost = 0.8044, accuracy = 0.3299
Epoch 90, cost = 0.7852, accuracy = 0.3553
Epoch 100, cost = 0.7668, accuracy = 0.3791
Epoch 110, cost = 0.7491, accuracy = 0.4018
Epoch 120, cost = 0.7319, accuracy = 0.4234
Epoch 130, cost = 0.7151, accuracy = 0.4432
Epoch 140, cost = 0.6985, accuracy = 0.4630
Epoch 150, cost = 0.6819, accuracy = 0.4817
Epoch 160, cost = 0.6649, accuracy = 0.5024
Epoch 170, cost = 0.6470, accuracy = 0.5257
Epoch 180, cost = 0.6280, accuracy = 0.5517
Epoch 190, cost = 0.6081, accuracy = 0.5773
Epoch 200, cost = 0.5882, accuracy = 0.6006
Epoch 210, cost = 0.5693, accuracy = 0.6220
Epoch 220, cost = 0.5516, accuracy = 0.6405
Epoch 230, cost = 0.5349, accuracy = 0.6581
Epoch 240, cost = 0.5191, accuracy = 0.6762
Epoch 250, cost = 0.5041, accuracy = 0.6909
Epoch 260, cost = 0.4899, accuracy = 0.7046
Epoch 270, cost = 0.4765, accuracy = 0.7168
Epoch 280, cost = 0.4639, accuracy = 0.7278
Epoch 290, cost = 0.4520, accuracy = 0.7376
Epoch 300, cost = 0.4410, accuracy = 0.7462
Epoch 310, cost = 0.4306, accuracy = 0.7539
Epoch 320, cost = 0.4210, accuracy = 0.7605
Epoch 330, cost = 0.4119, accuracy = 0.7669
Epoch 340, cost = 0.4035, accuracy = 0.7729
Epoch 350, cost = 0.3955, accuracy = 0.7782
Epoch 360, cost = 0.3881, accuracy = 0.7835
Epoch 370, cost = 0.3811, accuracy = 0.7887
Epoch 380, cost = 0.3745, accuracy = 0.7930
Epoch 390, cost = 0.3683, accuracy = 0.7977
Epoch 400, cost = 0.3624, accuracy = 0.8011
Epoch 410, cost = 0.3569, accuracy = 0.8043
Epoch 420, cost = 0.3516, accuracy = 0.8076
Epoch 430, cost = 0.3466, accuracy = 0.8105
Epoch 440, cost = 0.3418, accuracy = 0.8134
Epoch 450, cost = 0.3372, accuracy = 0.8157
Epoch 460, cost = 0.3329, accuracy = 0.8182
Epoch 470, cost = 0.3287, accuracy = 0.8209
Epoch 480, cost = 0.3247, accuracy = 0.8231
Epoch 490, cost = 0.3209, accuracy = 0.8253
Epoch 500, cost = 0.3172, accuracy = 0.8274
Epoch 510, cost = 0.3137, accuracy = 0.8292
Epoch 520, cost = 0.3103, accuracy = 0.8313
Epoch 530, cost = 0.3070, accuracy = 0.8331
Epoch 540, cost = 0.3038, accuracy = 0.8346
Epoch 550, cost = 0.3008, accuracy = 0.8362
Epoch 560, cost = 0.2979, accuracy = 0.8377
Epoch 570, cost = 0.2951, accuracy = 0.8390
Epoch 580, cost = 0.2923, accuracy = 0.8403
Epoch 590, cost = 0.2897, accuracy = 0.8416
Epoch 600, cost = 0.2871, accuracy = 0.8431
Epoch 610, cost = 0.2847, accuracy = 0.8443
Epoch 620, cost = 0.2823, accuracy = 0.8454
Epoch 630, cost = 0.2800, accuracy = 0.8465
Epoch 640, cost = 0.2777, accuracy = 0.8478
Epoch 650, cost = 0.2755, accuracy = 0.8491
Epoch 660, cost = 0.2734, accuracy = 0.8499
Epoch 670, cost = 0.2714, accuracy = 0.8507
Epoch 680, cost = 0.2694, accuracy = 0.8517
Epoch 690, cost = 0.2674, accuracy = 0.8525
Epoch 700, cost = 0.2655, accuracy = 0.8533
Epoch 710, cost = 0.2637, accuracy = 0.8544
Epoch 720, cost = 0.2619, accuracy = 0.8551
Epoch 730, cost = 0.2601, accuracy = 0.8558
Epoch 740, cost = 0.2584, accuracy = 0.8568
Epoch 750, cost = 0.2568, accuracy = 0.8574
Epoch 760, cost = 0.2551, accuracy = 0.8582
Epoch 770, cost = 0.2536, accuracy = 0.8589
Epoch 780, cost = 0.2520, accuracy = 0.8598
Epoch 790, cost = 0.2505, accuracy = 0.8608
Epoch 800, cost = 0.2490, accuracy = 0.8613
Epoch 810, cost = 0.2476, accuracy = 0.8622
Epoch 820, cost = 0.2462, accuracy = 0.8632
Epoch 830, cost = 0.2448, accuracy = 0.8640
Epoch 840, cost = 0.2434, accuracy = 0.8648
Epoch 850, cost = 0.2421, accuracy = 0.8652
Epoch 860, cost = 0.2408, accuracy = 0.8659
Epoch 870, cost = 0.2395, accuracy = 0.8665
Epoch 880, cost = 0.2383, accuracy = 0.8670
Epoch 890, cost = 0.2371, accuracy = 0.8677
Epoch 900, cost = 0.2359, accuracy = 0.8685
Epoch 910, cost = 0.2347, accuracy = 0.8689
Epoch 920, cost = 0.2336, accuracy = 0.8694
Epoch 930, cost = 0.2324, accuracy = 0.8699
Epoch 940, cost = 0.2313, accuracy = 0.8705
Epoch 950, cost = 0.2303, accuracy = 0.8708
Epoch 960, cost = 0.2292, accuracy = 0.8713
Epoch 970, cost = 0.2281, accuracy = 0.8719
Epoch 980, cost = 0.2271, accuracy = 0.8725
Epoch 990, cost = 0.2261, accuracy = 0.8732
Epoch 1000, cost = 0.2251, accuracy = 0.8737
